id,name,adp,adpsd,position,team,proj,projsd
40d5f12f-808e-43f1-9221-abb4a082382b,Kenneth Walker III,36,2.1294,RB,Seattle Seahawks,1,1
44122a01-9212-4ead-a3c9-bc7a459f4f24,Joe Burrow,36,2.1294,QB,Cincinnati Bengals,1,1
3ddf085d-bc54-4295-9403-ddeba92253d5,Terry McLaurin,36,2.1294,WR,Washington Commanders,1,1
d5082e0a-3fd2-4868-84ac-e8aa68d67d65,Brian Robinson Jr.,36,2.1294,RB,Washington Commanders,1,1
94b7a27d-9e2c-4b0f-b290-5fcec3e6a074,George Pickens,36,2.1294,WR,Pittsburgh Steelers,1,1
bf842d5b-ddfe-49d3-bf4f-7b4225ee1690,Colby Parkinson,36,2.1294,TE,Los Angeles Rams,1,1
d467ad62-280c-40d2-ae8c-4ee15f0d4c71,Michael Pittman Jr.,37,2.1294,WR,Indianapolis Colts,1,1
8601eab8-6890-4e93-985f-fcc804d7343f,Amari Cooper,37,2.1294,WR,Cleveland Browns,1,1
4dbae6f0-a236-4857-ab25-805236d6d0d9,Matthew Stafford,37,2.1294,QB,Los Angeles Rams,1,1
eef0b53c-0a74-450c-b0b2-67de28e39bdb,Travis Etienne Jr.,37,2.1294,RB,Jacksonville Jaguars,1,1
0d389d2b-abdc-4a94-b843-0ed0f6f678ec,Justin Fields,37,2.1294,QB,Pittsburgh Steelers,1,1
8b188cb1-c9df-498a-aacd-4ff16c83bcfa,Ladd McConkey,37,2.1294,WR,Los Angeles Chargers,1,1
ea1ddeb5-7f30-4eaf-83a5-4ef6a82d97b4,Jerome Ford,38,2.1294,RB,Cleveland Browns,1,1
2b935803-22de-47b3-baac-9bfdda66f80e,Tony Pollard,38,2.1294,RB,Tennessee Titans,1,1
8a3f14a9-94f7-4d4d-bd00-b2548b814bd2,Justin Herbert,39,2.1294,QB,Los Angeles Chargers,1,1
d673276d-b79f-427a-8754-b120e813a0e1,Aaron Jones,39,2.1294,RB,Minnesota Vikings,1,1
e2dcd664-7498-4e16-824a-605c534bcca3,Daniel Jones,39,2.1294,QB,NY Giants,1,1
3a0b2f98-d9a3-4266-8dd4-9074ce44daa8,Najee Harris,39,2.1294,RB,Pittsburgh Steelers,1,1
59586f2a-5514-409e-bb2d-437ac37e896f,Adonai Mitchell,39,2.1294,WR,Indianapolis Colts,1,1
f4cf395d-93d6-4ee1-952a-0fcf7d18cb54,Aaron Rodgers,39,2.1294,QB,NY Jets,1,1
041f4583-d506-4792-8fea-3db554175d98,Sam Darnold,39,2.1294,QB,Minnesota Vikings,1,1
9e52f871-00b3-4dae-a88f-c84e343560ba,Ezekiel Elliott,39,2.1294,RB,Dallas Cowboys,1,1
12062128-972e-41c0-8f3d-e9dbc655ae01,Brian Thomas,39,2.1294,WR,Jacksonville Jaguars,1,1
adbf2bce-c3c5-4752-9af2-2c0797a2f6f2,Allen Lazard,39,2.1294,WR,NY Jets,1,1
13408c88-8df1-496b-9a2f-45638db9850b,Jake Ferguson,39,2.1294,TE,Dallas Cowboys,1,1
8aa74d01-49db-4f88-85b2-54e6322ae9af,Demarcus Robinson,40,2.1294,WR,Los Angeles Rams,1,1
c7005e86-72cd-4107-b04f-e606bb7a130f,Pat Freiermuth,40,2.1294,TE,Pittsburgh Steelers,1,1
7dff03d7-9311-4f4e-99a9-611e3e7ba458,Derek Carr,40,2.1294,QB,New Orleans Saints,1,1
b9d703c0-3023-4ceb-9ec5-a311f334b947,Tee Higgins,40,2.1294,WR,Cincinnati Bengals,1,1
99f7f26a-76e2-4757-9c61-ed4f3a8fb04a,Calvin Ridley,40,2.1294,WR,Tennessee Titans,1,1
d7b66c8d-a475-4602-b2e6-aaa246f6fc58,Zach Ertz,40,2.1294,TE,Washington Commanders,1,1
56d2b557-3f12-4fae-8900-2e671334739c,Rashid Shaheed,40,2.1294,WR,New Orleans Saints,1,1
fd77a92c-6223-4de2-8b2b-ba9196490c4e,Alec Pierce,40,2.1294,WR,Indianapolis Colts,1,1
063f887c-5d43-45ae-a9d3-9600260b95d3,Trevor Lawrence,40,2.1294,QB,Jacksonville Jaguars,1,1
d5bf545f-0ca6-43bd-a56b-8bd072e5e2e9,Devin Singletary,40,2.1294,RB,NY Giants,1,1
5b2fe7f8-43e8-4ace-bff3-dcc3240b3734,Hollywood Brown,40,2.1294,WR,Kansas City Chiefs,1,1
c3836195-a742-4dc0-a142-c42362f2a412,Zack Moss,40,2.1294,RB,Cincinnati Bengals,1,1
f851be9d-0899-419a-b5e6-30a04d5a85a6,Tyler Lockett,40,2.1294,WR,Seattle Seahawks,1,1
4592a460-ce1f-4660-a19b-aa987e3a3019,Brandin Cooks,40,2.1294,WR,Dallas Cowboys,1,1
4c851d11-e76c-4f2d-8674-87b500629a61,Greg Dortch,40,2.1294,WR,Arizona Cardinals,1,1
3a4ca720-cc16-43a5-ba9a-ae5ddacfbc0f,Gus Edwards,40,2.1294,RB,Los Angeles Chargers,1,1
d3d566f0-832c-4eb4-9f31-116c4490a56d,Jalen McMillan,40,2.1294,WR,Tampa Bay Buccaneers,1,1
acce34e5-5938-441d-99e2-5ba68203b5c4,Tyler Johnson,40,2.1294,WR,Los Angeles Rams,1,1
8d255636-d714-472e-9f7d-f2722ecd3a04,Christian Kirk,40,2.1294,WR,Jacksonville Jaguars,1,1
2271f970-9257-435c-95c6-e0813f11c455,Courtland Sutton,40,2.1294,WR,Denver Broncos,1,1
481c871b-214a-4f54-b984-670cddddf2d2,Joshua Palmer,40,2.1294,WR,Los Angeles Chargers,1,1
e79719db-c814-4914-947a-e9ccad909560,Wan'Dale Robinson,40,2.1294,WR,NY Giants,1,1
3feee0c5-ddfa-4b37-a045-e0aeab4ede42,Jordan Addison,40,2.1294,WR,Minnesota Vikings,1,1
19f47181-1821-4edb-bc3b-aedd9841a299,DeAndre Hopkins,40,2.1294,WR,Tennessee Titans,1,1
99f202f7-453b-4080-88b3-ac8813619c3b,Austin Ekeler,40,2.1294,RB,Washington Commanders,1,1
ce725176-cf88-43d0-a756-67b3905a713e,Christian Watson,40,2.1294,WR,Green Bay Packers,1,1
960e02f5-38e4-4ea9-baff-1503aaf020c7,,40,2.1294,WR,Cincinnati Bengals,1,1
bf964d34-37ca-4288-bcbd-261f2329e3d0,,40,2.1294,WR,Baltimore Ravens,1,1
27bcebde-e3bc-45f0-b660-501174178d34,,40,2.1294,TE,Tampa Bay Buccaneers,1,1
946ff3b5-426c-4c63-95b9-b5081f79ee14,,40,2.1294,TE,Green Bay Packers,1,1
5335e4b5-3871-4b7d-8859-15d345c24f4e,,40,2.1294,WR,Tennessee Titans,1,1
3b75616a-04aa-48dd-81ec-9adab5cbf272,,40,2.1294,TE,Carolina Panthers,1,1
a25c8f3c-ac99-4688-ae45-fe4fe183e7e3,,40,2.1294,TE,New Orleans Saints,1,1
307a78e1-8d1c-4108-a155-b61819f29072,,40,2.1294,TE,Cincinnati Bengals,1,1
ed96bab1-23a6-40cc-97e6-381a5b3eb200,,40,2.1294,TE,Dallas Cowboys,1,1
