name,adp,adpsd,position,team,proj,projsd
Sedrick Alexander,,0.432,RB,Vanderbilt Commodores,1,1
Quincy Skinner,,0.432,WR,Vanderbilt Commodores,1,1
AJ Newberry,,0.432,RB,Vanderbilt Commodores,1,1
Jaden Bray,,0.432,WR,West Virginia Mountaineers,1,1
Hudson Clement,,0.432,WR,West Virginia Mountaineers,1,1
Jordan Faison,,0.432,WR,Notre Dame Fighting Irish,1,1
Jadan Baugh,,0.432,RB,Florida Gators,1,1
Beau Pribula,,0.432,QB,Penn State Nittany Lions,1,1
Jerrick Gibson,,0.432,RB,Texas Longhorns,1,1
Octavian Smith Jr.,,0.432,WR,Maryland Terrapins,1,1
Malachi Thomas,,0.432,RB,Virginia Tech Hokies,1,1
Kaden Saunders,,0.432,WR,Penn State Nittany Lions,1,1
Jayden Thomas,,0.432,WR,Notre Dame Fighting Irish,1,1
Amari Daniels,,0.432,RB,Texas A&M Aggies,1,1
Jay Haynes,,0.432,RB,Clemson Tigers,1,1
Isaiah Neyor,,0.432,WR,Nebraska Cornhuskers,1,1
Billy Edwards Jr.,,0.432,QB,Maryland Terrapins,1,1
Nolan Ray,,0.432,RB,Maryland Terrapins,1,1
Devyn Ford,,0.432,RB,Notre Dame Fighting Irish,1,1
Colby McDonald,,0.432,RB,Maryland Terrapins,1,1
Brandon Inniss,,0.432,WR,Ohio State Buckeyes,1,1
Dante Dowdell,,0.432,RB,Nebraska Cornhuskers,1,1
Jayden Ballard,,0.432,WR,Ohio State Buckeyes,1,1
Troy Stellato,,0.432,WR,Clemson Tigers,1,1
DeAndre Moore,,0.432,WR,Texas Longhorns,1,1
Jabre Barber,,0.432,WR,Texas A&M Aggies,1,1
Hayden Hansen,,0.432,TE,Florida Gators,1,1
Chimere Dike,,0.432,WR,Florida Gators,1,1
Cole Spence,,0.432,TE,Vanderbilt Commodores,1,1
James Peoples,,0.432,RB,Ohio State Buckeyes,1,1
Arian Smith,,0.432,WR,Georgia Bulldogs,1,1
Stephen Gosnell,,0.432,WR,Virginia Tech Hokies,1,1
Loic Fouonji,,0.432,WR,Vanderbilt Commodores,1,1
Heinrich Haarberg,,0.432,QB,Nebraska Cornhuskers,1,1
Andrew Rappleyea,,0.432,TE,Penn State Nittany Lions,1,1
Adam Randall,,0.432,WR,Clemson Tigers,1,1
EJ Smith,,0.432,RB,Texas A&M Aggies,1,1
Dylan Wade,,0.432,TE,Maryland Terrapins,1,1
Cyrus Allen,,0.432,WR,Texas A&M Aggies,1,1
Rodney Gallagher,,0.432,WR,West Virginia Mountaineers,1,1
Omari Evans,,0.432,WR,Penn State Nittany Lions,1,1
Malachi Coleman,,0.432,WR,Nebraska Cornhuskers,1,1
Isaiah Horton,,0.432,WR,Miami (FL) Hurricanes,1,1
KK Smith,,0.432,WR,Notre Dame Fighting Irish,1,1
Cam Wallace,,0.432,RB,Penn State Nittany Lions,1,1
Kahleil Jackson,,0.432,WR,Florida Gators,1,1
Micah Bell,,0.432,WR,Vanderbilt Commodores,1,1
Gunnar Helm,,0.432,TE,Texas Longhorns,1,1
Ajay Allen,,0.432,RB,Miami (FL) Hurricanes,1,1
Jacory Barney,,0.432,WR,Nebraska Cornhuskers,1,1
Cameron Edge,,0.432,QB,Maryland Terrapins,1,1
Nate Johnson,,0.432,QB,Vanderbilt Commodores,1,1
Justin Robinson,,0.432,WR,West Virginia Mountaineers,1,1
Moni Jones,,0.432,RB,Vanderbilt Commodores,1,1
Devin Brown,,0.432,QB,Ohio State Buckeyes,1,1
Lawson Luckie,,0.432,TE,Georgia Bulldogs,1,1
Shaleak Knotts,,0.432,WR,Maryland Terrapins,1,1
Ray Ray Ray Joseph,,0.432,WR,Miami (FL) Hurricanes,1,1
Collin Schlee,,0.432,QB,Virginia Tech Hokies,1,1
Steve Angeli,,0.432,QB,Notre Dame Fighting Irish,1,1
Jaylen Anderson,,0.432,RB,West Virginia Mountaineers,1,1
Gunner Stockton,,0.432,QB,Georgia Bulldogs,1,1
Nicco Marchiol,,0.432,QB,West Virginia Mountaineers,1,1
Jaylen Henderson,,0.432,QB,Texas A&M Aggies,1,1
DJ Lagway,,0.432,QB,Florida Gators,1,1
Jeremiah Coney,,0.432,RB,Virginia Tech Hokies,1,1
Emory Williams,,0.432,QB,Miami (FL) Hurricanes,1,1
Clay Millen,,0.432,QB,Florida Gators,1,1
Rueben Owens,,0.432,RB,Texas A&M Aggies,1,1
CJ Baxter,,0.432,RB,Texas Longhorns,1,1
